Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG17291,45 ± 1.8,46 ± 0.8,48 ± 3.4,48 ± 2.6,59 ± 2.4,65 ± 0.5,81 ± 7.3,80 ± 16,55 ± 4.5,69 ± 3.3
CG17534,5.9 ± 2.8,4.4 ± 2.6,148 ± 57,288 ± 24,125 ± 11,145 ± 57,3.5 ± 0.2,6.8 ± 3.3,7.0 ± 1.1,50 ± 4.1
CG14369,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0
CG31344,12 ± 0.9,13 ± 0.8,3.1 ± 0.1,4.1 ± 0.3,20 ± 1.1,20 ± 1.2,0.4 ± 0.2,0.4 ± 0.1,3.1 ± 0.8,2.8 ± 0.2
CG5569,8.8 ± 0.7,9.6 ± 0.9,23 ± 2.7,24 ± 3.8,9.4 ± 0.3,8.9 ± 0.9,7.3 ± 0.2,6.9 ± 1.3,6.4 ± 2.3,8.3 ± 0.2
CG6118,0.0 ± 0.1,0.1 ± 0.1,0.3 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG4212,29 ± 0.8,31 ± 0.2,24 ± 4.7,26 ± 4.2,38 ± 0.4,43 ± 4.0,25 ± 1.1,23 ± 4.8,15 ± 0.5,23 ± 0.0
CG9806,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG11295,1.4 ± 0.1,1.4 ± 0.2,1.7 ± 1.2,0.7 ± 0.2,1.4 ± 0.2,1.4 ± 0.2,1.1 ± 0.5,0.7 ± 0.2,3.3 ± 2.4,1.2 ± 0.2
CG4539,5.3 ± 0.8,5.6 ± 0.6,9.1 ± 0.4,4.8 ± 0.7,7.3 ± 0.7,4.8 ± 0.7,10 ± 0.6,6.2 ± 1.3,10 ± 1.2,7.5 ± 0.6
CG32668,0.4 ± 0.1,0.6 ± 0.1,0.2 ± 0.1,0.3 ± 0.2,0.5 ± 0.0,0.7 ± 0.1,0.5 ± 0.2,0.6 ± 0.5,0.8 ± 0.0,0.8 ± 0.0
CG7716,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.5 ± 1.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,1.4 ± 2.2,0.0 ± 0.0,0.4 ± 0.2
CG3977,18 ± 0.6,16 ± 0.6,13 ± 0.9,12 ± 0.5,14 ± 0.6,15 ± 0.0,12 ± 1.7,11 ± 0.5,14 ± 0.3,20 ± 1.8
CG1311,7.7 ± 0.6,7.8 ± 0.2,8.5 ± 1.3,7.1 ± 1.0,15 ± 0.0,16 ± 0.8,13 ± 2.3,10 ± 0.7,8.7 ± 0.1,13 ± 1.0
CG13833,0.2 ± 0.2,0.3 ± 0.1,5.9 ± 2.9,15 ± 3.8,27 ± 2.4,58 ± 14,0.1 ± 0.1,0.1 ± 0.1,0.4 ± 0.1,3.1 ± 0.6
CG15734,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.1,1.6 ± 1.1,0.1 ± 0.2,0.1 ± 0.0,0.0 ± 0.0,0.6 ± 0.8,0.0 ± 0.0,0.2 ± 0.1
CG4931,12 ± 0.8,13 ± 0.6,11 ± 1.0,11 ± 1.2,12 ± 0.4,13 ± 0.4,12 ± 3.1,12 ± 2.0,15 ± 0.5,18 ± 1.3
CG31050,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,2.4 ± 1.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 1.5,0.0 ± 0.0,0.4 ± 0.1
CG9553,45 ± 5.4,46 ± 1.9,63 ± 12,70 ± 8.2,64 ± 2.8,71 ± 2.1,86 ± 5.8,70 ± 8.2,76 ± 2.8,98 ± 2.0
CG4319,2.2 ± 0.4,2.0 ± 0.4,0.7 ± 0.2,0.4 ± 0.0,0.2 ± 0.1,0.2 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.2 ± 0.1,0.3 ± 0.1
CG5375,31 ± 4.1,33 ± 2.7,1.1 ± 0.1,1.9 ± 0.3,30 ± 0.7,41 ± 3.8,0.2 ± 0.1,0.3 ± 0.0,0.4 ± 0.1,0.6 ± 0.0
CG3171,1.4 ± 0.1,1.0 ± 0.1,4.3 ± 0.6,2.7 ± 0.1,2.5 ± 0.2,2.8 ± 0.1,1.4 ± 0.4,0.9 ± 0.3,20 ± 1.0,27 ± 0.4
CG31713,7.6 ± 1.2,6.7 ± 0.5,14 ± 4.2,16 ± 2.7,30 ± 0.7,33 ± 0.4,17 ± 5.8,16 ± 5.6,13 ± 1.8,16 ± 1.5
CG4008,15 ± 0.4,14 ± 1.0,40 ± 3.3,28 ± 1.8,30 ± 0.7,23 ± 1.2,38 ± 5.8,31 ± 5.3,20 ± 5.5,22 ± 0.6
CG6331,11 ± 1.7,12 ± 0.9,20 ± 3.8,18 ± 2.8,22 ± 0.2,11 ± 1.8,34 ± 7.7,24 ± 2.2,2.8 ± 0.0,4.5 ± 1.6
CG32551,0.0 ± 0.0,0.0 ± 0.1,3.8 ± 1.3,5.2 ± 1.1,0.0 ± 0.0,0.3 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.2,0.3 ± 0.2
CG2902,12 ± 1.8,15 ± 0.2,0.7 ± 0.4,0.8 ± 0.3,1.2 ± 0.2,1.4 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.3 ± 0.0
CG10081,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG41624,0.4 ± 0.1,0.6 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.7 ± 0.2,1.3 ± 0.1,0.1 ± 0.0,0.1 ± 0.2,0.1 ± 0.0,0.1 ± 0.1
CG4152,2.7 ± 0.3,2.7 ± 0.3,4.1 ± 0.4,2.3 ± 0.3,4.2 ± 0.1,3.6 ± 0.0,3.3 ± 0.5,2.8 ± 0.8,4.2 ± 1.3,3.3 ± 0.1
CG6914,0.6 ± 0.2,0.7 ± 0.0,0.0 ± 0.0,1.0 ± 1.1,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 1.5,0.0 ± 0.0,0.2 ± 0.1
CG6690,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,2.6 ± 1.8,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.2 ± 0.1
CG33117,0.4 ± 0.1,0.3 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.2,0.4 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG3696,28 ± 4.0,32 ± 0.3,13 ± 1.6,14 ± 3.0,24 ± 0.8,34 ± 4.6,18 ± 8.6,20 ± 8.2,30 ± 1.6,33 ± 0.8
CG1467,7.2 ± 0.6,6.3 ± 0.2,4.8 ± 0.2,3.8 ± 0.1,11 ± 0.8,9.1 ± 2.2,6.1 ± 1.5,4.0 ± 1.3,6.4 ± 0.9,7.6 ± 0.6
CG3595,24 ± 1.0,23 ± 0.9,36 ± 2.9,34 ± 1.9,64 ± 0.5,68 ± 2.4,88 ± 29,65 ± 24,54 ± 3.5,72 ± 7.0
CG13432,0.2 ± 0.1,0.2 ± 0.0,10 ± 1.9,9.8 ± 0.7,9.0 ± 0.5,11 ± 1.2,0.5 ± 0.2,0.2 ± 0.0,9.5 ± 0.5,24 ± 2.5
CG2962,0.8 ± 0.1,0.1 ± 0.1,0.3 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG42389,10 ± 1.3,11 ± 0.6,6.3 ± 0.9,6.4 ± 1.2,12 ± 0.2,14 ± 2.1,6.8 ± 2.9,6.5 ± 2.5,14 ± 0.1,12 ± 0.3
CG11842,1.2 ± 0.7,0.4 ± 0.4,21 ± 2.0,20 ± 6.7,22 ± 0.8,12 ± 5.2,0.3 ± 0.2,0.2 ± 0.2,1.2 ± 0.4,4.1 ± 0.4
CG6335,11 ± 0.7,9.6 ± 0.3,19 ± 0.8,13 ± 1.1,17 ± 0.1,13 ± 0.4,18 ± 1.8,14 ± 4.1,19 ± 3.2,19 ± 2.1
CG5840,2.5 ± 1.9,1.4 ± 0.8,44 ± 17,57 ± 20,49 ± 0.5,39 ± 18,47 ± 13,58 ± 16,2.5 ± 0.3,11 ± 1.9
CG43336,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11459,1.1 ± 0.7,0.4 ± 0.2,19 ± 5.7,12 ± 2.2,18 ± 1.6,8.1 ± 2.6,0.2 ± 0.2,0.1 ± 0.1,0.9 ± 0.3,2.4 ± 0.6
CG1518,9.6 ± 0.6,11 ± 0.1,11 ± 1.4,6.9 ± 1.1,11 ± 0.1,8.8 ± 0.2,5.8 ± 0.5,4.6 ± 1.2,17 ± 1.7,15 ± 0.2
CG10138,0.2 ± 0.0,0.2 ± 0.0,0.0 ± 0.0,0.7 ± 0.5,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.6,0.0 ± 0.0,0.1 ± 0.1
CG10890,3.4 ± 0.6,3.9 ± 0.3,2.1 ± 0.5,1.4 ± 0.2,1.7 ± 0.1,2.1 ± 0.1,1.6 ± 0.1,1.7 ± 0.1,2.8 ± 1.0,1.7 ± 0.0
CG9670,4.9 ± 1.2,5.1 ± 0.2,7.1 ± 0.7,7.2 ± 0.7,5.6 ± 0.2,6.3 ± 0.5,16 ± 2.6,14 ± 0.4,9.0 ± 3.4,6.1 ± 0.0
CG1817,5.8 ± 0.9,7.2 ± 0.3,6.3 ± 0.2,4.7 ± 0.8,7.9 ± 0.1,11 ± 1.9,4.0 ± 0.7,5.8 ± 1.9,3.4 ± 0.7,3.4 ± 0.0
CG31550,11 ± 1.3,12 ± 0.2,5.8 ± 0.4,5.2 ± 0.9,7.3 ± 1.4,7.9 ± 1.3,6.2 ± 0.7,6.3 ± 1.1,4.8 ± 0.6,6.8 ± 0.2
CG4598,7.0 ± 1.8,5.7 ± 0.8,46 ± 9.6,46 ± 2.9,29 ± 1.2,20 ± 5.1,34 ± 3.7,32 ± 3.7,25 ± 3.7,29 ± 2.2
CG8915,3.8 ± 0.0,3.9 ± 0.2,2.3 ± 0.4,1.7 ± 0.1,2.1 ± 0.1,2.0 ± 0.3,2.4 ± 0.5,2.1 ± 0.3,2.8 ± 0.9,1.9 ± 0.3
CG12442,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.4,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.3 ± 0.5,0.0 ± 0.0,0.1 ± 0.1
CG8862,4.6 ± 0.4,4.4 ± 0.2,5.7 ± 0.7,4.4 ± 0.6,5.0 ± 0.1,4.3 ± 0.8,5.5 ± 1.1,3.9 ± 1.6,3.9 ± 1.8,3.8 ± 0.1
CG31449,1.2 ± 1.0,1.1 ± 1.6,0.2 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.0,0.1 ± 0.2,0.1 ± 0.1,0.9 ± 0.1,1.3 ± 0.0
CG5222,2.7 ± 0.3,3.0 ± 0.2,2.7 ± 0.4,2.3 ± 0.3,3.1 ± 0.5,3.2 ± 0.1,4.6 ± 1.7,5.3 ± 0.7,3.7 ± 0.1,3.5 ± 0.2
CG9739,15 ± 2.2,16 ± 0.8,9.8 ± 1.8,8.3 ± 0.3,20 ± 0.6,19 ± 0.7,10 ± 1.5,11 ± 1.9,9.2 ± 1.6,15 ± 0.2
CG15429,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.5 ± 0.8,0.0 ± 0.0,0.2 ± 0.1
CG43208,0.0 ± 0.1,0.0 ± 0.1,0.0 ± 0.0,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,1.2 ± 1.6,0.4 ± 0.6,0.0 ± 0.0,0.0 ± 0.0
CG8953,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.9 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.8 ± 1.3,0.0 ± 0.0,0.3 ± 0.2
CG10182,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.3,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.2 ± 0.3,0.2 ± 0.2,0.1 ± 0.1
CG32548,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,2.0 ± 1.2,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.2,1.9 ± 3.0,0.0 ± 0.0,0.5 ± 0.4
CG33889,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG1395,0.3 ± 0.2,0.3 ± 0.3,4.7 ± 3.4,0.5 ± 0.1,0.8 ± 0.2,0.2 ± 0.0,1.0 ± 1.1,0.2 ± 0.1,11 ± 9.1,0.9 ± 0.7
CG7766,12 ± 1.2,11 ± 1.3,43 ± 5.3,45 ± 2.6,23 ± 0.1,22 ± 0.1,17 ± 1.6,18 ± 2.6,24 ± 1.2,42 ± 0.6
CG2275,9.4 ± 0.5,9.5 ± 1.0,13 ± 2.0,12 ± 1.0,15 ± 0.1,15 ± 0.7,25 ± 13,17 ± 9.1,14 ± 0.4,18 ± 0.2
CG10693,42 ± 9.3,44 ± 2.3,6.1 ± 1.9,10 ± 1.7,25 ± 1.2,35 ± 6.5,0.1 ± 0.0,0.1 ± 0.0,1.2 ± 0.1,4.3 ± 0.7
CG7577,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG15326,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0
CG9862,5.3 ± 0.2,5.0 ± 0.3,7.3 ± 1.5,6.2 ± 0.3,7.7 ± 0.2,7.4 ± 0.5,6.5 ± 1.2,7.7 ± 1.7,6.1 ± 2.2,6.5 ± 0.3
CG43207,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.4,0.0 ± 0.0,0.1 ± 0.1
CG17209,2.5 ± 0.2,2.6 ± 0.1,2.9 ± 0.4,1.9 ± 0.4,2.3 ± 0.3,2.4 ± 0.3,5.3 ± 0.7,4.3 ± 1.0,3.2 ± 0.8,2.7 ± 0.1
CG1081,21 ± 0.9,21 ± 0.7,41 ± 8.8,39 ± 5.3,22 ± 1.5,17 ± 1.4,38 ± 4.8,32 ± 3.5,14 ± 0.8,19 ± 0.7
CG13972,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG14232,5.4 ± 0.3,5.6 ± 0.8,3.0 ± 0.0,2.8 ± 0.2,9.9 ± 0.2,12 ± 1.6,3.4 ± 0.1,3.3 ± 0.6,4.4 ± 0.6,4.9 ± 0.3
CG7361,67 ± 6.8,80 ± 10,328 ± 43,426 ± 83,171 ± 5.1,160 ± 7.4,121 ± 37,110 ± 33,92 ± 2.0,225 ± 3.4
CG18766,17 ± 0.9,18 ± 1.1,6.2 ± 0.9,6.6 ± 0.2,9.3 ± 0.4,10 ± 1.0,12 ± 2.9,12 ± 2.1,8.9 ± 1.1,19 ± 1.0
CG10063,0.2 ± 0.1,0.1 ± 0.1,0.3 ± 0.3,2.6 ± 1.4,0.3 ± 0.2,0.5 ± 0.0,0.4 ± 0.2,1.7 ± 2.1,0.3 ± 0.1,0.7 ± 0.4
CG16889,25 ± 2.2,24 ± 1.2,15 ± 3.8,18 ± 1.3,43 ± 0.6,48 ± 2.7,18 ± 7.3,17 ± 6.0,280 ± 95,470 ± 47
CG11669,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.2,21 ± 11,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,21 ± 22,0.2 ± 0.3,10 ± 9.0
CG6664,9.3 ± 0.8,10 ± 0.2,11 ± 0.8,12 ± 0.8,8.2 ± 0.4,9.0 ± 0.1,7.5 ± 0.4,7.5 ± 1.8,8.3 ± 2.1,9.7 ± 0.2
CG6290,0.1 ± 0.0,0.0 ± 0.0,1.1 ± 0.5,1.7 ± 0.3,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.7 ± 0.0
CG45477,9.6 ± 2.4,9.0 ± 0.5,6.0 ± 1.0,6.1 ± 0.9,11 ± 0.4,15 ± 3.2,4.0 ± 1.6,4.0 ± 1.4,8.7 ± 0.4,8.2 ± 1.4
CG12048,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG14798,2.6 ± 0.4,3.4 ± 0.1,0.6 ± 0.6,0.4 ± 0.2,0.8 ± 0.0,1.2 ± 0.2,0.1 ± 0.1,0.3 ± 0.1,0.6 ± 0.0,0.6 ± 0.1
CG42317,15 ± 1.9,16 ± 0.5,14 ± 1.5,15 ± 1.5,13 ± 0.1,15 ± 0.1,11 ± 0.7,11 ± 0.6,14 ± 0.0,16 ± 1.2
CG10212,0.9 ± 0.1,1.0 ± 0.1,1.6 ± 0.8,1.6 ± 1.6,1.0 ± 0.2,1.1 ± 0.1,1.0 ± 0.3,1.0 ± 0.1,2.5 ± 1.9,0.9 ± 0.0
CG12992,1.5 ± 0.4,1.6 ± 0.1,0.4 ± 0.1,1.5 ± 0.7,1.2 ± 0.2,1.8 ± 0.9,1.4 ± 1.8,1.4 ± 1.9,1.3 ± 0.3,1.4 ± 0.1
CG9005,14 ± 1.1,16 ± 0.7,21 ± 5.0,24 ± 4.0,12 ± 1.0,16 ± 2.2,15 ± 2.1,16 ± 0.9,21 ± 1.2,33 ± 1.5
CG42816,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.4 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.3,0.2 ± 0.0,0.1 ± 0.1
CG33129,36 ± 0.2,35 ± 0.7,65 ± 9.1,68 ± 1.8,62 ± 0.3,55 ± 3.5,56 ± 11,56 ± 6.7,47 ± 12,32 ± 2.9
CG43127,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.8 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.3,0.4 ± 0.7,0.0 ± 0.0,0.2 ± 0.3
CG32847,0.1 ± 0.1,0.0 ± 0.0,0.2 ± 0.2,1.8 ± 1.5,0.3 ± 0.0,0.3 ± 0.0,0.0 ± 0.0,0.9 ± 0.4,0.0 ± 0.0,0.5 ± 0.3
CG32601,0.1 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG4633,3.9 ± 0.1,4.6 ± 0.2,5.6 ± 0.2,5.6 ± 0.6,4.1 ± 0.0,3.5 ± 0.6,4.3 ± 1.0,4.1 ± 1.0,3.8 ± 0.7,4.5 ± 0.4
CG11454,11 ± 0.7,11 ± 1.0,10 ± 0.7,9.0 ± 1.3,14 ± 0.5,13 ± 0.2,14 ± 3.0,13 ± 2.4,11 ± 2.1,15 ± 0.1
CG12567,43 ± 4.3,43 ± 1.3,29 ± 6.8,31 ± 0.9,24 ± 0.3,28 ± 0.8,35 ± 3.6,35 ± 4.9,46 ± 6.8,33 ± 3.9
CG40411,42 ± 2.7,41 ± 0.4,20 ± 2.5,19 ± 0.9,18 ± 0.2,20 ± 1.3,17 ± 2.6,14 ± 1.5,26 ± 1.9,19 ± 2.3
CG9760,4.0 ± 0.7,4.5 ± 0.4,0.4 ± 0.1,0.9 ± 0.4,1.4 ± 0.1,2.3 ± 0.2,0.2 ± 0.2,0.1 ± 0.1,0.2 ± 0.1,0.4 ± 0.2
CG5608,6.5 ± 0.6,6.5 ± 0.4,4.9 ± 0.7,5.0 ± 0.2,6.4 ± 0.2,7.2 ± 0.3,7.3 ± 2.3,7.0 ± 1.9,7.0 ± 0.1,6.8 ± 0.3
CG42319,0.8 ± 0.1,1.3 ± 1.1,51 ± 6.7,65 ± 7.3,14 ± 1.0,10 ± 0.5,0.4 ± 0.2,0.2 ± 0.1,3.7 ± 0.9,15 ± 3.9
CG31872,0.1 ± 0.1,0.3 ± 0.2,0.0 ± 0.0,33 ± 20,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.8 ± 2.1,0.0 ± 0.0,1.7 ± 1.4
CG1402,7.4 ± 1.5,7.2 ± 0.5,0.5 ± 0.3,0.6 ± 0.2,0.4 ± 0.1,0.4 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.3 ± 0.2
CG7708,47 ± 8.0,57 ± 0.7,1.5 ± 1.0,2.5 ± 1.0,4.8 ± 0.5,6.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.0,1.0 ± 0.3
CG5165,24 ± 2.7,21 ± 3.0,280 ± 75,313 ± 34,134 ± 4.5,98 ± 20,471 ± 58,447 ± 122,37 ± 4.7,91 ± 5.6
CG1745,6.1 ± 0.5,6.4 ± 0.8,5.2 ± 0.9,3.4 ± 0.2,3.3 ± 0.0,3.5 ± 0.3,4.0 ± 0.7,3.4 ± 0.0,5.8 ± 3.5,2.9 ± 0.2
CG3920,28 ± 6.1,28 ± 1.6,6.6 ± 0.9,5.1 ± 0.8,12 ± 0.6,14 ± 2.3,4.9 ± 0.9,5.0 ± 1.0,4.4 ± 0.4,2.9 ± 0.6
CG3801,0.1 ± 0.1,0.2 ± 0.2,0.0 ± 0.0,18 ± 9.4,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.6 ± 0.6,0.0 ± 0.0,1.0 ± 0.8
CG8928,12 ± 0.8,12 ± 1.4,12 ± 0.8,9.2 ± 1.7,12 ± 0.8,9.4 ± 1.4,14 ± 3.2,11 ± 1.2,11 ± 1.5,8.0 ± 0.8
CG5334,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
CG7447,2.9 ± 0.3,2.4 ± 0.1,5.8 ± 1.6,3.1 ± 0.4,6.5 ± 0.3,6.0 ± 0.5,0.6 ± 0.3,0.5 ± 0.3,0.6 ± 0.1,0.6 ± 0.1
CG4735,0.1 ± 0.0,0.1 ± 0.1,2.9 ± 2.0,0.3 ± 0.1,0.3 ± 0.1,0.1 ± 0.1,0.3 ± 0.2,0.1 ± 0.2,4.4 ± 3.2,0.5 ± 0.3
CG13999,20 ± 2.0,21 ± 1.5,0.6 ± 0.4,1.5 ± 0.3,3.7 ± 0.1,3.6 ± 0.3,0.0 ± 0.0,0.6 ± 1.0,0.2 ± 0.1,0.6 ± 0.2
CG33276,9.4 ± 1.7,10.0 ± 1.4,11 ± 1.4,14 ± 3.2,10 ± 1.6,8.1 ± 0.6,17 ± 5.5,12 ± 5.5,8.9 ± 4.1,8.2 ± 2.2
CG10763,41 ± 0.1,45 ± 1.6,1.8 ± 0.4,3.8 ± 0.2,19 ± 1.4,22 ± 1.8,0.2 ± 0.1,0.2 ± 0.1,1.4 ± 0.6,1.2 ± 0.0
CG11873,5.1 ± 0.8,6.0 ± 0.5,1.4 ± 0.2,1.3 ± 0.2,3.6 ± 0.2,4.3 ± 1.1,2.4 ± 1.4,2.4 ± 1.5,3.4 ± 0.0,5.0 ± 0.3
CG15337,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.2,0.5 ± 0.3,0.2 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.5 ± 0.9,0.0 ± 0.0,0.1 ± 0.0
CG11372,52 ± 4.6,59 ± 2.8,51 ± 4.2,51 ± 3.6,37 ± 0.7,43 ± 1.6,27 ± 4.9,27 ± 6.7,42 ± 3.4,54 ± 2.9
CG31623,0.1 ± 0.0,0.1 ± 0.0,0.2 ± 0.0,1.1 ± 0.7,0.4 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.6 ± 0.9,0.1 ± 0.0,0.2 ± 0.1
CG6232,1.4 ± 0.2,1.6 ± 0.2,2.8 ± 1.3,4.1 ± 0.9,0.4 ± 0.0,0.6 ± 0.0,0.8 ± 0.6,0.8 ± 0.4,0.5 ± 0.1,0.9 ± 0.1
CG33784,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.2,10 ± 0.1,17 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.2 ± 0.0
CG10207,0.3 ± 0.1,0.2 ± 0.1,6.2 ± 1.9,7.9 ± 6.8,0.1 ± 0.0,0.2 ± 0.0,917 ± 141,1004 ± 110,0.3 ± 0.2,2.1 ± 0.0
CG32775,13 ± 0.8,8.9 ± 0.8,7.5 ± 0.6,5.7 ± 0.8,7.4 ± 0.4,6.3 ± 0.1,20 ± 1.8,17 ± 3.5,8.9 ± 1.6,8.8 ± 0.9
CG5001,1.4 ± 0.2,1.5 ± 0.7,9.7 ± 1.6,10 ± 0.8,8.1 ± 0.2,7.8 ± 0.8,5.3 ± 0.6,4.4 ± 1.1,3.0 ± 0.1,6.1 ± 0.1
CG18066,2.8 ± 0.6,3.1 ± 0.5,14 ± 4.6,14 ± 4.3,4.0 ± 0.5,3.4 ± 0.2,0.1 ± 0.1,0.4 ± 0.3,8.7 ± 1.5,4.9 ± 0.4
CG6420,7.9 ± 0.6,8.6 ± 0.3,4.8 ± 0.4,4.6 ± 0.0,8.1 ± 0.5,9.8 ± 0.7,14 ± 4.0,13 ± 3.8,18 ± 1.3,23 ± 2.3
CG1924,0.2 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,0.4 ± 0.2,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG6240,0.3 ± 0.1,0.4 ± 0.2,0.2 ± 0.2,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.3 ± 0.3,0.7 ± 0.3,0.1 ± 0.1,0.0 ± 0.0
